City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,Hithadhoo,-0.6,73.0833,27.42,77,75,5.69,MV,1674929270
213,Ol'ga,43.7444,135.2892,-19.12,67,0,5.37,RU,1674929270
214,Weyburn,49.6668,-103.8511,-22.56,96,49,3.86,CA,1674929214
215,Te Anau,-45.4167,167.7167,10.6,73,0,0.32,NZ,1674929270
216,Sioux Lookout,50.1001,-91.917,-22.96,89,47,3.2,CA,1674929271
217,Manjacaze,-24.7117,33.8828,23.23,88,1,2.41,MZ,1674929271
218,Mar del Plata,-38.0023,-57.5575,27.13,91,60,2.68,AR,1674929272
219,George Town,5.4112,100.3354,26.96,65,20,4.12,MY,1674929228
220,Henties Bay,-22.116,14.2845,18.56,83,57,3.94,NA,1674929272
221,Río Cuarto,-33.1307,-64.3499,28.04,39,13,4.99,AR,1674929273
222,Menongue,-14.6585,17.691,17.0,97,100,2.51,AO,1674929273
223,Solapur,17.6833,75.9167,24.04,24,0,3.91,IN,1674929119
224,Hohhot,40.8106,111.6522,-11.63,52,0,0.66,CN,1674929274
225,Zambezi,-13.5432,23.1047,19.29,94,100,2.21,ZM,1674929274
226,Haines Junction,60.7522,-137.5108,-16.82,99,98,0.28,CA,1674929274
227,Shingū,33.7333,135.9833,-0.41,73,2,3.34,JP,1674929275
228,Kahului,20.8947,-156.47,21.02,96,100,3.09,US,1674929082
229,Sept-Îles,50.2001,-66.3821,-3.3,93,100,6.17,CA,1674929164
230,Pingyi,35.5006,117.6308,-2.77,27,0,1.52,CN,1674929275
231,Waingapu,-9.6567,120.2641,25.99,86,100,2.68,ID,1674929276
232,Paamiut,61.994,-49.6678,-8.01,83,100,10.13,GL,1674929276
233,Tessaoua,13.7574,7.9874,28.4,12,87,3.24,NE,1674929276
234,Bamako,12.65,-8.0,33.23,12,0,4.63,ML,1674929145
235,Hualmay,-11.0964,-77.6139,24.86,69,51,5.03,PE,1674928989
236,Kaitangata,-46.2817,169.8464,10.02,91,4,1.6,NZ,1674929277
237,Caucayá,-0.1934,-74.7819,33.69,29,54,2.43,CO,1674929277
238,Ust'-Ordynskiy,52.805,104.7508,-14.54,99,100,0.34,RU,1674929277
239,Novopokrovka,49.8425,36.5477,-2.68,75,18,4.18,UA,1674929278
240,Houma,29.5958,-90.7195,21.11,61,0,9.26,US,1674929278
241,Saint-Augustin,51.226,-58.6502,-12.53,79,90,1.71,CA,1674929278
242,Longyearbyen,78.2186,15.6401,-4.09,68,40,9.77,SJ,1674929279
243,Portland,45.5234,-122.6762,7.27,95,100,4.47,US,1674929069
244,Port Blair,11.6667,92.75,26.63,75,7,5.63,IN,1674929279
245,Xiangxiang,27.7333,112.5333,3.46,33,1,0.73,CN,1674929279
246,Los Llanos de Aridane,28.6585,-17.9182,14.51,80,75,5.66,ES,1674929280
247,Tamiahua,21.2667,-97.45,23.04,64,86,2.7,MX,1674929280
248,Korla,41.7597,86.1469,-9.13,74,0,0.42,CN,1674929281
249,Peniche,39.3558,-9.3811,11.07,68,0,7.56,PT,1674929281
250,Mahon,39.8885,4.2658,8.31,71,75,10.8,ES,1674929281
251,Port Hedland,-20.3167,118.5667,28.03,89,40,2.57,AU,1674929282
252,Christchurch,-43.5333,172.6333,15.51,84,100,1.03,NZ,1674929037
253,Aswān,24.0934,32.907,24.05,22,20,2.06,EG,1674929282
254,Hue,16.4667,107.6,15.06,94,75,2.57,VN,1674929111
255,Saskylakh,71.9167,114.0833,-40.71,100,97,1.44,RU,1674929283
256,São Filipe,14.8961,-24.4956,23.76,70,32,5.45,CV,1674929283
257,Santo Domingo,18.5001,-69.9886,27.82,77,75,6.17,DO,1674929087
258,Verkhnevilyuysk,63.4453,120.3167,-50.14,100,64,0.87,RU,1674929284
259,Boa Vista,2.8197,-60.6733,31.99,43,40,4.12,BR,1674929211
260,Isangel,-19.55,169.2667,26.23,83,79,2.45,VU,1674929284
261,Kargil,34.5667,76.1,-12.41,97,100,0.35,IN,1674929284
262,Freeport,40.6576,-73.5832,11.43,45,0,8.75,US,1674929285
263,Abu Samrah,35.3029,37.1841,11.52,72,58,4.0,SY,1674929285
264,Weatherford,32.7593,-97.7972,16.72,77,100,0.45,US,1674929285
265,Namatanai,-3.6667,152.4333,26.24,82,32,2.49,PG,1674929278
